FOOD NAME	EHR PATIENT COUNT FOR FOOD NAME	GPT-based ingredient list
Beef on weck	1	Beef | Kummelweck roll | Horseradish
Beef Stroganoff	794	Beef | Onion | Mushrooms | Sour cream | Beef broth | Butter | Flour | Salt | Pepper
Beef Wellington	18	Beef tenderloin | Mushroom duxelles | Prosciutto | Puff pastry | Egg wash
Beer bread	41	Flour | Baking powder | Salt | Sugar | Beer
Beer cheese	45	Cheddar cheese | Beer | Cream cheese | Worcestershire sauce | Garlic powder | Onion powder | Hot sauce | Mustard powder | Paprika
Beer ice cream	21	Beer | Heavy cream | Whole milk | Sugar | Egg yolks | Salt
Beer soup	8	Beer | Broth | Butter | Flour | Egg Yolks | Cream | Sugar | Salt | Pepper | Nutmeg
Beetroot cake	0	Beetroot | Flour | Sugar | Eggs | Oil | Baking powder | Cinnamon | Nutmeg | Salt
Beggar's chicken	0	Chicken | Shaoxing wine | soy sauce | ginger | scallions | garlic | salt | pepper | lotus leaves | parchment paper
Begodya	0	Lamb | Rice | Onion | Garlic | Cumin | Coriander | Turmeric | Cinnamon | Cardamom | Cloves | Bay leaves | Saffron | Olive oil | Water
Beguni	0	Eggplant | Besan (chickpea flour) | Turmeric powder | Red chili powder | Salt | Water
Beignet	6	Flour | Sugar | Baking powder | Salt | Eggs | Milk | Vanilla extract | Vegetable oil
Beijinho	0	Sweetened condensed milk | Desiccated coconut | Butter | Cloves
Beika	0	Rice | Lentils | Onions | Olive oil | Salt | Cumin
Bein mont	0	Lamb | Rice | Onions | Chickpeas | Raisins | Almonds | Cinnamon | Saffron | Ginger | Black pepper | Salt
Beirute	0	Pita bread | Roast beef | Tomato | Onion | Pickles | Mayonnaise | Mustard | Ketchup | Lettuce
Beji	11	Flour|Butter|Sugar|Eggs|Vanilla Extract|Baking Powder
Bela biscuit	0	Flour | Sugar | Butter | Baking powder | Vanilla essence
Bela Pana	0	Jaggery | Milk | Ghee | Black pepper | Cardamom | Ripe plantains
Belekoy	0	Rice flour | Brown sugar | Water | Anise seeds | Banana leaves
Belgian bun	0	Flour | Sugar | Butter | Milk | Yeast | Eggs | Currants | Lemon zest | Icing sugar | Water
Belgian waffle	70	Flour | Sugar | Baking powder | Salt | Milk | Eggs | Butter | Vanilla extract
Belokranjska povitica	0	Flour | Water | Salt | Lard | Eggs | Cottage cheese | Sugar | Sour cream | Yeast
Benedictine	73	Cucumber | Onion | Cream cheese | Mayonnaise | Salt | Green food coloring
Benne dose	0	Rice flour | Black sesame seeds | Jaggery | Coconut
Bensone	0	Rice|Chicken|Onions|Tomatoes|Bell peppers|Garlic|Ginger|Spices
Beondegi	0	Silkworm pupae|Soy sauce|Sugar|Sesame oil|Sesame seeds|Garlic|Green onions|Red pepper flakes
Berger Cookies	0	Butter | Sugar | Eggs | Flour | Chocolate coating
Berlingozzo	0	Flour | Sugar | Eggs | Butter | Lemon zest | Almonds | Pine nuts | Raisins | Anise seeds
Bermuda fish chowder	0	Fish | Onion | Carrot | Celery | Tomato | Garlic | Thyme | Bay leaf | Black pepper | Worcestershire sauce | Hot sauce | Dark rum | Fish stock | Tomato paste | Dark rum | Lime juice | Sherry pepper sauce | Dark rum
Berner Haselnusslebkuchen	0	Hazelnuts | Sugar | Egg whites | Cinnamon | Cloves | Lemon zest | Flour | Baking powder | Chocolate coating
Berner Honiglebkuchen	0	Flour | Honey | Almonds | Hazelnuts | Candied orange peel | Candied lemon peel | Cinnamon | Cloves | Nutmeg | Allspice | Cocoa powder | Baking powder | Eggs | Sugar | Butter
Berry chantilly cake	0	Cake flour|Baking powder|Salt|Unsalted butter|Granulated sugar|Eggs|Whole milk|Vanilla extract|Heavy cream|Powdered sugar|Fresh berries
Bertie Beetle	0	Chocolate | Honeycomb
Besan chakki	0	Besan | Sugar | Ghee | Cardamom | Almonds
Bethmännchen	0	Almond paste | Rosewater | Powdered sugar | Almonds
Bêtise de Cambrai	0	Sugar | Glucose syrup | Citric acid | Natural flavors | Colorings
Better than sex cake	0	Chocolate cake mix | Sweetened condensed milk | Caramel sauce | Whipped topping | Heath bar pieces
Betutu	0	Chicken | Coconut oil | Shallots | Garlic | Chili peppers | Ginger | Galangal | Turmeric | Candlenuts | Shrimp paste | Lemongrass | Kaffir lime leaves | Bay leaves | Salt
Beurre Maître d'Hôtel	0	Butter | Lemon juice | Parsley | Salt | Pepper
Beurre monté	0	Butter | Water
Beurre noir	0	Butter | Lemon juice | Parsley
Beurre noisette	0	Butter | Hazelnuts
Beuschel	11	Veal lungs | heart | spleen | liver | onions | garlic | vinegar | flour | butter | salt | pepper
Beyran soup	0	Lamb | Rice | Garlic | Butter | Mint | Red pepper flakes | Salt | Black pepper | Lemon
Bhaji	1	Onion | Potato | Green chili | Ginger | Garlic | Turmeric | Cumin seeds | Mustard seeds | Curry leaves | Coriander leaves
Bhakkha	0	Rice | Lentils | Vegetables | Spices
Bhakri	0	Whole wheat flour | Water | Salt
Bhapa pitha	0	Rice flour | Jaggery | Coconut | Cardamom pods | Water
Bhatura	3	All-purpose flour | Yogurt | Baking powder | Sugar | Salt | Oil
Bhel puri	0	Puffed rice | Sev | Chopped onions | Chopped tomatoes | Chopped green chilies | Chopped coriander leaves | Tamarind chutney | Green chutney | Chaat masala | Salt
Bhindi fry	0	Okra | Oil | Cumin seeds | Turmeric powder | Red chili powder | Coriander powder | Amchur powder | Salt
Bhoonja	0	Chickpeas | Onions | Tomatoes | Green chilies | Ginger | Garlic | Cumin seeds | Turmeric | Red chili powder | Coriander powder | Garam masala | Salt | Oil
Bhurta	0	Eggplant | Tomatoes | Onions | Green chilies | Garlic | Ginger | Cilantro | Spices
Bhutan	125	Chili peppers | Cheese | Butter | Salt
Bialy	76	Flour | Water | Yeast | Salt | Onion
Biangbiang noodles	0	Flour | Water | Salt | Oil
Bibikkan	0	Coconut | Semolina | Sugar | Eggs | Butter | Vanilla | Cardamom | Raisins | Cashews | Almonds
Bibim-guksu	0	Thin wheat noodles|Gochujang|Soy sauce|Sugar|Vinegar|Sesame oil|Garlic|Sesame seeds|Cucumber|Carrot|Egg
Bibimbap	57	Rice | Vegetables (such as spinach, bean sprouts, carrots, zucchini) | Beef | Gochujang (Korean chili paste) | Egg | Sesame oil | Soy sauce
Bibingka	0	Rice flour | Coconut milk | Sugar | Eggs | Butter | Cheese | Salt | Baking powder
Bica	371	Flour | Sugar | Eggs | Lemon | Cinnamon | Coffee
Bichak	45	Flour | Sugar | Butter | Walnuts | Cardamom | Rosewater
Bichon au citron	0	Bichon au citron | Lemon | Sugar | Eggs | Butter | Flour | Baking powder | Salt
Bicol express	0	Pork belly|Coconut milk|Shrimp paste|Chili peppers|Garlic|Onion|Ginger
Bienenstich	0	Butter | Sugar | Eggs | Flour | Baking powder | Milk | Almonds | Honey
Bierock	0	Ground beef | Cabbage | Onion | Salt | Pepper | Dough
Bigilla	1	Broad beans | Garlic | Olive oil | Salt | Cumin
Bigoli	13	Flour | Water | Salt
Bigoli in salsa	0	Bigoli | Onion | Anchovies | Olive oil | White wine | Black pepper
Bigos	25	Sauerkraut | Fresh cabbage | Polish sausage | Bacon | Onion | Mushrooms | Prunes | Tomato paste | Garlic | Caraway seeds | Bay leaves | Salt | Pepper
Bihun goreng	0	Bihun | Shrimp | Chicken | Eggs | Vegetables | Soy sauce | Oyster sauce | Garlic | Shallots | Chili peppers | Cooking oil
Bika ambon	0	Eggs | Coconut milk | Sugar | Tapioca flour | Rice flour | Yeast | Pandan leaves
Bikaneri bhujia	0	Gram flour|Moong dal|Edible oil|Spices|Salt|Water
Biko	12	Glutinous rice | Coconut milk | Brown sugar | Latik
Biłgoraj pierogi	0	Potatoes | Cottage cheese | Onions | Salt | Pepper
Bilo-bilo	0	Glutinous rice flour | Water | Sweet potato | Saba banana | Taro | Jackfruit | Coconut milk | Sugar
Biltong	2	Beef | Vinegar | Salt | Black pepper | Coriander | Sugar | Chili | Garlic | Onion
Binagol	0	Sticky rice | Coconut milk | Brown sugar | Pili nuts | Chocolate chips | Banana leaves
Binagoongan	0	Pork belly|Shrimp paste|Garlic|Onion|Tomato|Chili peppers|Vinegar|Sugar|Water|Oil
Binaki	1	Glutinous rice flour | Coconut milk | Sugar | Grated coconut
Binakle	0	Black-eyed peas|Onion|Tomato|Garlic|Ginger|Green chili|Turmeric|Coriander powder|Cumin powder|Garam masala|Salt|Oil|Water
Binakol	0	Chicken | Coconut water | Ginger | Lemongrass | Green papaya | Chili peppers | Fish sauce | Salt
Binangkal	0	All-purpose flour | Baking powder | Sugar | Water | Sesame seeds
Binatog	0	White corn kernels | Sugar | Grated coconut
Bindae-tteok	0	Mung beans|soaked rice|kimchi|pork belly|soy sauce|sesame oil|salt|pepper|green onions|garlic|ginger|water
Bing	13285	Flour | Water | Salt | Yeast
Bingsu	0	Shaved ice | Sweetened condensed milk | Red bean paste | Fruit (such as strawberries, mango, or kiwi) | Toppings (such as mochi, nuts, or cereal)
Binignit	0	Sweet potatoes | taro | plantains | jackfruit | sago pearls | coconut milk | sugar | water
Bint al-sahn	0	Flour | Yeast | Sugar | Ghee | Honey | Saffron | Cardamom | Rose water
Binte biluhuta	0	Fish | Coconut milk | Turmeric | Ginger | Garlic | Shallots | Lemongrass | Lime leaves | Chili peppers | Tamarind | Salt
Bionico	0	Bananas|Strawberries|Apples|Pineapple|Granola|Shredded coconut|Sweetened condensed milk|Crema Mexicana|Honey
Bir pletok	0	Cinnamon stick | Cloves | Lemongrass | Ginger | Palm sugar | Water | Pandan leaves | Lime juice | Salt
Bird's Custard	0	Cornflour | Salt | Flavouring | Colour (Annatto)
Birnbrot	0	Dried pears|Dried figs|Dried apricots|Almonds|Hazelnuts|Walnuts|Cinnamon|Cloves|Nutmeg|Allspice|Honey|Flour|Yeast|Butter|Eggs|Sugar|Salt
Birnen, Bohnen und Speck	0	Pears | Green beans | Bacon
Birnenhonig	0	Pears|Honey
Birria	13	Beef | Dried chilies | Vinegar | Onion | Garlic | Cumin | Oregano | Bay leaves | Cloves | Black pepper | Salt | Water
Biryani	62	Basmati rice | Meat (chicken, lamb, or goat) | Yogurt | Onions | Tomatoes | Garlic | Ginger | Green chilies | Garam masala | Turmeric | Cumin | Coriander | Saffron | Mint leaves | Cilantro | Ghee
Bisciola	0	Flour | Sugar | Butter | Eggs | Nuts | Dried fruits | Honey | Spices
Biscocho	4	Flour|Sugar|Butter|Eggs|Baking powder|Salt|Vanilla extract
Biscotti	478	Flour | Sugar | Eggs | Almonds | Baking powder | Vanilla extract
Biscotti di San Martino	0	Flour | Sugar | Almonds | Pine nuts | Candied orange peel | Eggs | Butter | Baking powder | Vanilla extract
Biscotti regina	0	All-purpose flour | Sugar | Butter | Eggs | Baking powder | Anise seeds | Sesame seeds
Biscuit	8296	Flour | Baking powder | Salt | Butter | Milk
Biscuit rose de Reims	0	Flour | Sugar | Eggs | Butter | Vanilla
Biscuit Tortoni	0	Almonds|Egg whites|Sugar|Heavy cream|Amaretto liqueur
Bisque	606	Lobster | Crab | Shrimp | Tomato | Cream | Brandy
Bissara	1	Dried split fava beans | Olive oil | Garlic | Cumin | Paprika | Salt | Water
Bistecca alla fiorentina	0	Beef steak | Olive oil | Salt | Pepper
Bistek	1	Beef | Soy sauce | Lemon or calamansi juice | Onion | Garlic | Pepper
Bitterballen	0	Butter | Flour | Beef broth | Beef | Parsley | Salt | Pepper | Nutmeg | Egg | Breadcrumbs
Bizcochito	0	Flour | Sugar | Lard | Anise seeds | Cinnamon | Baking powder | Whiskey
Bizcocho	0	Flour | Sugar | Eggs | Butter | Baking powder | Milk | Vanilla essence
Blaa	23	Flour | Water | Yeast | Salt
Blåbärssoppa	0	Blueberries | Water | Sugar | Cinnamon | Lemon
Black and white cookie	0	Flour | Sugar | Butter | Eggs | Milk | Vanilla extract | Lemon zest | Baking powder | Salt | Confectioners' sugar | Water | Cocoa powder
Black bun	3	Flour | Sugar | Butter | Currants | Raisins | Almonds | Candied peel | Spices | Whisky
Black dumplings	0	Ground pork|cabbage|green onions|ginger|soy sauce|sesame oil|black pepper|wonton wrappers
Black Forest gateau	0	Flour|Sugar|Cocoa powder|Eggs|Butter|Cherries|Kirsch|Whipped cream
Black pepper crab	1	Black pepper | Crab | Butter | Garlic | Soy sauce | Oyster sauce | Sugar | Cornstarch | Green onions
Black pudding	28	Pork blood | Pork fat | Oatmeal | Barley | Seasonings
Black sesame rice cake	0	Black sesame seeds | Glutinous rice flour | Sugar | Water
Black sesame roll	0	Black sesame seeds | Glutinous rice flour | Sugar | Water | Oil
Black sesame soup	0	Black sesame seeds | Water | Sugar | Rice flour
Black soup	4	Palm oil | Water | Meat (usually goat, cow, or chicken) | Stockfish | Dry fish | Periwinkle | Crayfish | Pepper | Salt | Utazi leaves | Oha leaves | Uziza leaves
Blackberry pie	10	Blackberries | Sugar | Cornstarch | Lemon juice | Pie crust
Blancmange	1	Milk|Sugar|Cornstarch|Vanilla extract
Blanquette de veau	0	Veal | Onion | Carrot | Celery | Bouquet garni | White wine | Chicken stock | Butter | Flour | Cream | Lemon juice | Egg yolk | Parsley
Blini	3	Flour | Milk | Eggs | Butter | Salt | Sugar | Yeast
Blintz	14	Flour | Eggs | Milk | Salt | Butter | Cottage Cheese | Sugar | Lemon Zest
Blodpalt	0	Potatoes | Blood | Flour | Salt
Blondie	105	Butter | Brown sugar | Eggs | Vanilla extract | All-purpose flour | Baking powder | Salt | White chocolate chips
Blood as food	2	Blood | Salt | Spices
Blood sausage	15	Pork blood | Pork fat | Pork meat | Cereal | Onion | Salt | Pepper | Spices
Blood soup	7	Beef blood | Beef broth | Onions | Garlic | Vinegar | Salt | Pepper | Bay leaves | Potatoes | Carrots | Celery | Parsley
Blooming onion	39	Onion | Flour | Paprika | Cayenne pepper | Garlic powder | Salt | Black pepper | Eggs | Milk
Bløtkake	0	Flour|Sugar|Eggs|Milk|Butter|Vanilla extract|Baking powder|Whipped cream|Fresh berries
BLT	3794	Bacon | Lettuce | Tomato
Blue cake	3	Flour | Sugar | Butter | Eggs | Milk | Vanilla extract | Blue food coloring
Blue cheese dressing	529	Blue cheese | Mayonnaise | Sour cream | Buttermilk | Lemon juice | Worcestershire sauce | Garlic | Salt | Pepper
Blue moon	2622	Milk | Cream | Sugar | Egg yolks | Vanilla extract | Blue food coloring
Blueberry pie	184	Blueberries | Sugar | Cornstarch | Lemon juice | Cinnamon | Butter | Pie crust
Blunkett salad	0	Lettuce | Cucumber | Tomatoes | Red onion | Feta cheese | Olives | Olive oil | Lemon juice | Oregano
Bò kho	0	Beef | Lemongrass | Garlic | Shallots | Ginger | Star anise | Cinnamon | Cloves | Fish sauce | Soy sauce | Sugar | Tomato paste | Carrots | Potatoes | Onions | Beef broth
Bò nướng lá lốt	0	Beef | Wild betel leaf | Lemongrass | Shallots | Garlic | Fish sauce | Sugar | Salt | Pepper
Boat noodles	0	Beef | Pork | Meatballs | Beef or Pork Blood | Rice Noodles | Bean Sprouts | Chinese Broccoli | Green Onions | Cilantro
Bob chorba	0	Lamb | Onion | Rice | Red pepper paste | Tomato paste | Paprika | Black pepper | Salt | Water
Boba ice cream bar	0	Milk|Sugar|Glucose Syrup|Cream|Skim Milk|Whey Protein|Stabilizers|Emulsifiers|Natural Flavors|Colorants
Bobó de camarão	0	Shrimp | Cassava | Coconut milk | Dende oil | Onion | Garlic | Bell pepper | Tomato | Cilantro | Lime | Salt | Black pepper
Bobotie	0	Ground beef|Onion|Garlic|Curry powder|Turmeric|Ginger|Chutney|Apricot jam|White bread|Eggs|Milk|Bay leaves|Almonds|Raisins
Bocadillo	4	Guava paste | Queso blanco | Bread
Bocadillo	4	Guava paste | Queso fresco | Bread rolls
Bocconotto	0	Flour | Sugar | Eggs | Almonds | Cocoa powder | Jam
Boeber	0	Milk | Vermicelli | Sugar | Sago | Cardamom | Cinnamon | Rose water | Almonds | Raisins
Boerenjongens	0	Raisins | Brandy | Sugar | Lemon zest | Cinnamon
Boerewors	0	Beef | Pork | Coriander | Nutmeg | Cloves | Allspice | Vinegar | Salt | Pepper | Water
Bøfsandwich	0	Beef patty | Pickles | Onions | Remoulade sauce | Rye bread
Boil up	28	Taro | Kumara | Pork bones | Watercress | Puha | Pork sausages | Corned beef
Boiled egg	11125	Eggs | Water
Bokkeum	0	Beef | Onion | Carrot | Green onion | Soy sauce | Sugar | Sesame oil | Garlic | Black pepper | Sesame seeds
Bokkeum-bap	0	Rice | Vegetables | Meat | Soy sauce | Sesame oil | Garlic | Ginger | Green onions | Eggs
Bokkoms	0	Dried fish | Salt
Bolani	1	Potatoes | Green onions | Cilantro | Spices | Oil | Dough
Boliche	1	Beef eye round roast|Garlic cloves|Salt|Black pepper|Paprika|Olive oil|White wine|Onion|Carrot|Celery|Bay leaves|Beef broth|Tomato sauce|Red wine vinegar|Sugar|Potatoes|Chorizo sausage
Bolillo	1	Flour | Yeast | Water | Salt
Bolinho de chuva	0	Flour | Sugar | Milk | Eggs | Baking powder | Cinnamon
Bolinhos de mandioca com mel	0	Mandioca | Mel | Farinha de trigo | Ovo | Óleo | Açúcar | Canela
Bollito misto	0	Beef | Veal | Pork | Chicken | Cotechino sausage | Vegetables
Bollo	22	Plantains|Eggs|Butter|Sugar|Salt|Cheese
Bolo de arroz	0	Rice flour | Sugar | Eggs | Milk | Butter | Baking powder | Lemon zest
Bolo de bolacha	0	Maria biscuits | Coffee | Sugar | Butter | Egg | Cocoa powder | Milk | Vanilla extract | Whipped cream
Bolo de mel	0	Flour | Sugar | Honey | Butter | Eggs | Milk | Baking powder | Cinnamon | Cloves | Nutmeg | Walnuts | Almonds
Bolo de rolo	0	Eggs | Sugar | Flour | Guava paste
Bolo do caco	0	Flour | Sweet potatoes | Salt | Water | Yeast
Bolo fiado	0	Flour | Sugar | Eggs | Butter | Lemon | Cinnamon | Salt
Bologna cake	2	Bologna | Cream cheese | Mayonnaise | Onion | Green bell pepper | Pecans | Worcestershire sauce | Hot sauce | Lemon juice | Salt
Bologna sandwich	1634	Bologna | Bread | Mustard | Mayonnaise | Lettuce | Tomato | Cheese
Bolognese sauce	28	Ground beef | Onion | Carrot | Celery | Garlic | Tomato paste | Canned tomatoes | Red wine | Beef broth | Milk | Olive oil | Salt | Pepper
Bolu kukus	0	Flour | Sugar | Eggs | Baking powder | Milk | Butter
Boluo fan	0	Rice | Pineapple | Raisins | Cashews | Shredded coconut
Bolus	468376	Potatoes | Butter | Milk | Salt | Nutmeg | Egg | Flour | Bread Crumbs | Oil
Bombay mix	1	Chickpea flour noodles|Puffed rice|Fried lentils|Peanuts|Green peas|Spices
Bombay potato	0	Potatoes | Mustard seeds | Cumin seeds | Turmeric | Red chili powder | Coriander powder | Garam masala | Fresh coriander leaves
Bombe glacée	0	Eggs | Sugar | Whipping cream | Vanilla extract | Chocolate ice cream | Raspberry sorbet | Pistachio ice cream
Bombolone	0	Flour | Sugar | Eggs | Butter | Milk | Yeast | Salt
Bonbon	6	Chocolate | Cream | Butter | Sugar | Nuts | Fruits | Liquor
Bonda	14	Potatoes | Gram flour | Rice flour | Green chilies | Ginger | Curry leaves | Mustard seeds | Cumin seeds | Turmeric powder | Asafoetida | Salt | Oil
Bondiola sandwich	0	Bondiola | Bread | Chimichurri | Lettuce | Tomato | Onion
Bonfire toffee	0	Black treacle | Golden syrup | Butter | Brown sugar | Vinegar
Boodog	0	Marmot meat | Hot stones | Seasonings
Boondi	4	Gram flour|Water|Oil|Salt|Turmeric powder|Baking soda
Boortsog	0	Flour | Sugar | Butter | Milk | Salt | Oil
Booyah	3	Chicken | Beef | Pork | Onion | Carrots | Potatoes | Celery | Green beans | Corn | Peas | Tomatoes | Cabbage | Seasonings
Booza	12	Milk|Sugar|Salep|Mastic
Bopis	0	Pork lungs | Pork heart | Pork liver | Chili peppers | Vinegar | Soy sauce | Garlic | Onion | Bay leaves | Salt | Pepper
Boquerones en vinagre	0	Fresh anchovies | White wine vinegar | Garlic | Parsley | Olive oil | Salt
Borani	1	Spinach | Yogurt | Garlic | Olive oil | Salt | Black pepper
Bordelaise sauce	0	Red wine | Shallots | Beef or veal stock | Butter
Börek	0	Phyllo dough | Feta cheese | Spinach | Eggs | Olive oil | Yogurt
Borhani	13	Yogurt | Mint | Green chili | Cumin | Black salt | Sugar | Water
Bori	302	Black gram | Ginger | Green chili | Salt | Sugar | Mustard oil
Borlengo	0	Flour | Water | Salt | Lard | Milk | Eggs
Borodinsky bread	0	Rye flour | Whole wheat flour | Molasses | Coriander | Caraway seeds | Yeast | Salt | Water
Borș	0	Beef | Onions | Carrots | Celery | Parsnips | Potatoes | Tomatoes | Bell peppers | Cabbage | Bay leaves | Black peppercorns | Salt | Sour cream
Borș de burechiușe	0	Beef | Onions | Carrots | Celery | Parsnips | Potatoes | Tomato paste | Sour cream | Dill
Borscht	94	Beetroot | Cabbage | Potatoes | Carrots | Onions | Garlic | Beef | Beef broth | Tomato paste | Vinegar | Sugar | Salt | Pepper | Sour cream
Bosintang	0	Beef | Dog meat | Green onions | Garlic | Ginger | Perilla seeds | Cheongju (rice wine) | Soy sauce | Red pepper flakes | Salt
Bosna	5	Ground beef | Ground lamb | Salt | Black pepper | Paprika | Garlic | Marjoram | Thyme | Mustard seeds | Water
Bosnian pot	0	Beef | Lamb | Onions | Carrots | Potatoes | Tomatoes | Red bell peppers | Green bell peppers | Garlic | Paprika | Salt | Black pepper | Bay leaves | Water
Bossam	0	Pork belly|Garlic|Ginger|Green onions|Korean radish|Salt|Sugar|Soybean paste|Soy sauce|Oyster sauce|Black pepper|Sesame oil|Sesame seeds|Red chili pepper flakes
Boston baked beans	10	Navy beans | Molasses | Brown sugar | Mustard | Salt pork | Onion | Water
Boston bun	0	Flour | Sugar | Butter | Milk | Egg | Cinnamon | Nutmeg | Raisins | Icing sugar | Water
Boston cream pie	34	Butter | Sugar | Eggs | Flour | Baking powder | Milk | Vanilla | Cornstarch | Heavy cream | Chocolate
Botamochi	0	Sweet rice | Sweet red bean paste | Kinako (roasted soybean flour) | Sugar | Salt
Botok	2	Fish | Coconut | Spices | Banana leaves
Bottarga	0	Mullet roe|Salt
Bougatsa	0	Phyllo dough | Milk | Sugar | Semolina | Butter | Eggs | Vanilla | Cinnamon
Bouillabaisse	46	Fish | Shellfish | Olive oil | Onion | Leek | Tomato | Garlic | Fennel | Saffron | Thyme | Bay leaf | Orange zest | White wine | Fish stock
Bouillon	13914	Beef or chicken bones|Water|Onions|Carrots|Celery|Garlic|Bay leaves|Peppercorns|Salt
Bouillon cube	90	Salt | Hydrogenated Palm Oil | Monosodium Glutamate | Sugar | Corn Starch | Chicken Fat | Dehydrated Chicken Meat | Onion Powder | Turmeric | Spices | Disodium Guanylate | Disodium Inosinate
Boûkète	0	Beef | Onions | Garlic | Ginger | Tomato paste | Red palm oil | Scotch bonnet peppers | Maggi cubes | Salt | Water
Boule	274	Flour | Water | Salt | Yeast
Boulets à la Liégeoise	0	Ground beef|Onion|Bread crumbs|Egg|Flour|Butter|Brown sugar|Apple cider vinegar|Beef broth
Boulou	0	Flour|Sugar|Butter|Eggs|Baking powder|Vanilla extract|Lemon zest|Orange blossom water
Bouneschlupp	0	Green beans | potatoes | bacon | onions | leeks | carrots | celery | parsley | thyme | bay leaf | vegetable or chicken broth | heavy cream
Bourbon ball	0	Bourbon | Vanilla wafer cookies | Pecans | Powdered sugar | Cocoa powder | Bourbon whiskey
Bourbon biscuit	0	Flour | Sugar | Vegetable oil | Cocoa powder | Bourbon vanilla extract | Salt | Baking powder | Baking soda
Bourbon chicken	41	Chicken | Soy sauce | Brown sugar | Bourbon whiskey | Garlic | Ginger | Red pepper flakes | Cornstarch | Water | Green onions
Bourdeto	0	Fish | Onions | Garlic | Tomatoes | Red wine vinegar | Olive oil | Red pepper flakes | Bay leaves | Salt | Pepper
Bourekas	1	Puff pastry dough | Feta cheese | Spinach | Potato | Ground beef | Egg | Onion | Olive oil
Bourride	0	Fish | Potatoes | Garlic | Olive oil | White wine | Fish stock | Saffron | Egg yolks | Aioli
Bouyiourdi	0	Feta cheese | Tomatoes | Red bell peppers | Green bell peppers | Red chili peppers | Olive oil | Oregano
Boxty	1	Potatoes | Flour | Baking powder | Salt | Milk | Butter
Boyoz	0	Flour | Water | Olive oil | Salt | Yeast
Bra sausage	0	Pork | Beef | Salt | Pepper | Nutmeg | Allspice | Ginger | Coriander | Marjoram | Caraway | Garlic | Onion | Water
Brændende kærlighed	0	Potatoes | Bacon | Onions | Butter | Milk | Salt | Pepper
Braised rice	0	Rice | Broth | Meat | Vegetables | Seasonings
Brandade	3	Salt cod | Potatoes | Olive oil | Garlic | Milk | Cream | Butter | Nutmeg | Black pepper
Brandy snaps	0	Flour | Butter | Sugar | Golden syrup | Ground ginger | Brandy
Brassói aprópecsenye	0	Pork | Potatoes | Onions | Bell peppers | Tomatoes | Paprika | Salt | Pepper
Bratwurst	1647	Pork | Veal | Seasonings
Braunschweiger	23	Pork liver | Pork fat | Pork snouts | Pork skin | Salt | Sugar | Spices | Sodium nitrite
Brazo de Mercedes	0	Egg yolks | Condensed milk | Vanilla | Sugar | Cream of tartar | White sugar
Bread	260302	Flour|Water|Yeast|Salt
Bread and butter pudding	0	Bread | Butter | Milk | Eggs | Sugar | Raisins | Nutmeg | Cinnamon
Bread bowl	114	Flour | Yeast | Water | Salt | Sugar | Butter
Bread pakora	0	Bread slices | Chickpea flour | Water | Salt | Red chili powder | Turmeric powder | Garam masala | Chaat masala | Baking soda | Oil
Bread pudding	191	Bread | Milk | Eggs | Sugar | Vanilla extract | Cinnamon
Bread roll	270	Flour | Yeast | Water | Salt | Sugar | Butter
Bread soup	241	Bread | Broth | Olive oil | Garlic | Salt | Pepper | Paprika | Eggs | Parsley
Breadcrumbs	294	Breadcrumbs | Flour | Yeast | Salt | Water
Breadstick	2356	Flour | Water | Yeast | Salt | Olive oil
Breakfast burrito	2622	Eggs | Breakfast sausage | Potatoes | Cheese | Tortilla
Breakfast roll	41	Bacon | Sausage | Black pudding | White pudding | Egg | Tomato | Hash brown | Butter | Ketchup | Salt | Pepper
Breakfast sandwich	6941	Eggs | Bacon | Cheese | Bread
Bredele	0	Flour | Sugar | Butter | Eggs | Almonds | Spices
Brem	31	Rice|Coconut milk|Palm sugar|Salt
Bremer Klaben	0	Flour | Milk | Butter | Sugar | Yeast | Raisins | Almonds | Lemon zest | Rum
Brenebon	0	Red kidney beans | Beef ribs | Garlic | Shallots | Nutmeg | Cloves | Bay leaves | Kaffir lime leaves | Salt | Pepper
Brenntar	0	Beef | Onions | Garlic | Ginger | Tomatoes | Green chilies | Cumin | Coriander | Turmeric | Garam masala | Salt | Oil
Brési	0	Beef | Onions | Carrots | Celery | Garlic | Red wine | Beef broth | Tomato paste | Bay leaves | Thyme | Parsley | Olive oil | Flour | Salt | Pepper
Breudher	0	Butter | Sugar | Eggs | Milk | Flour | Yeast | Cardamom | Raisins
Bridge mix	11	Chocolate | Nuts | Raisins | Licorice
Bridie	59	Ground beef|Onion|Salt|Pepper|Pastry dough
Brier Hill–style pizza	0	Pizza dough | Tomato sauce | Romano cheese | Garlic | Olive oil | Crushed red pepper flakes | Oregano
Brigadeiro	0	Sweetened condensed milk | Cocoa powder | Butter | Chocolate sprinkles
Brik	103	Thin pastry dough | Egg | Parsley | Tuna | Harissa | Capers | Lemon juice | Salt | Pepper
Brioche	204	Flour | Butter | Eggs | Milk | Sugar | Yeast | Salt
Briouat	0	Ground meat | Onion | Parsley | Spices | Phyllo dough | Eggs | Lemon juice | Vegetable oil
Brisket	817	Beef brisket | Onions | Carrots | Celery | Garlic | Beef broth | Red wine | Tomato paste | Brown sugar | Dijon mustard | Paprika | Bay leaves | Salt | Pepper
Brittle	366067	Sugar | Water | Corn syrup | Butter | Baking soda | Salt | Nuts
