Ingredient	Count in HER
Fresh tomatoes	785
Fresh vegetables	18716
Fried anchovies	3
Fried Beef	50
Fried Cheese	136
Fried chicken	10393
Fried Chicken Beaks	0
Fried Chicken Blood	3
Fried Chicken Bones	0
Fried Chicken Cartilage	0
Fried Chicken Claws	0
Fried Chicken Combs	0
Fried Chicken Eggs	4
Fried Chicken Embryos	0
Fried Chicken Fat	0
Fried Chicken Feathers	0
Fried Chicken Feet	0
Fried Chicken Gizzards	7
Fried Chicken Heads	0
Fried Chicken Hearts	0
Fried Chicken Intestines	0
Fried Chicken Liver	3
Fried Chicken Necks	0
Fried Chicken Skin	8
Fried Chicken Spurs	0
Fried Chicken Wattles	0
Fried Chicken Wings	265
Fried chickpeas	14
Fried coconut flesh	0
Fried Crackers	8
Fried egg	2512
Fried eggplant	34
fried eggs	1667
Fried fish	3036
Fried French Fries	76
Fried Fruits	80
Fried garlic	11
Fried grated coconut	0
Fried items	188
Fried lentils	8
Fried noodles	71
Fried Nuts	5
Fried onion	148
Fried peanuts	5
Fried Pickles	113
Fried plantains	77
Fried Popcorn	6
Fried Pork	389
Fried pork rind	0
Fried Rice	3585
Fried Seafood	39
Fried seafood (such as shrimp or oysters)	0
Fried shallots	0
Fried shrimp	559
Fried spiced grated coconut	0
Fried Squid	9
Fried tempeh	2
Fried tofu	113
Fried Vegetables	705
Fried wontons	6
Frik (cracked wheat)	0
Frisée	0
Fritos	1792
Fromage blanc	0
Frosting	4490
frothy milk	13
Frozen banana	535
Frozen peas	9266
Fruit	486771
Fruit (such as apples, cherries, or berries)	0
Fruit (such as strawberries, mango, or kiwi)	0
Fruit and Vegetable Concentrates	3
fruit cocktail	30183
Fruit Flavoring	39
Fruit juice	135181
Fruit Juice from Concentrate	1
Fruit or flavoring (e.g. berries, chocolate)	0
Fruit pieces	883
Fruit puree	2664
Fruit toppings	32
fruits	522395
Fruits (e.g. apples, plums, cherries)	0
Fruits (such as apple, pear, and peach)	0
Fruits or vegetables	16551
Fudge	3286
Fudge swirls	0
Fugu	5
Fumaric Acid	1624
Funchoza	0
Functional ingredients	0
Furikake	14
galangal	10
Gambas	1
Game meat	105
Ganmodoki	0
Garam masala	103
Garcinia	139159
Garden egg	6
Gari	124
garlic	242142
Garlic butter	259
Garlic chive flowers	0
Garlic chives	8
Garlic chutney	0
Garlic cloves	206
Garlic flakes	1
Garlic naan	22
Garlic oil	2952
Garlic powder	8430
Garlic sauce	400
Gazelle ankles	0
gelatin	137502
Gelatine	44
Gelatinized broth	0
Gelatinous broth	0
Gelling agent (pectin)	0
Genepi	2
Ghee	4740
Ghee for frying	1
Ghonghi	0
Gila squash	0
ginger	267869
Ginger garlic paste	1
ginger juice	95
Ginger paste	11
Ginger-garlic paste	1
Gingerbread cookies	51
gingerbread spice mix	0
Gingko nuts	1
Ginkgo nuts	5
Ginseng	182997
gizzard	23
Glace cherries	0
Glass noodles	15
Glasswort	1
Glazed donut halves	0
Glazing agent	12
Glazing Agent (Carnauba Wax)	0
Glazing Agents	1
Glazing agents (carnauba wax, beeswax)	0
Glucose	1124294
Glucose syrup	112
Glucose-fructose syrup	2
glutinous rice	10
Glutinous rice balls	0
glutinous rice flour	0
Glutinous rice paste	0
Glycerin	77656
Glycerine	7910
Goat	28260
Goat cheese	1224
Goat head	5
Goat meat	101
Goat trotters	0
Goat's milk	11936
Gobo	16
Gobo roots	0
Gochugaru	1
Gochugaru (Korean red chili flakes)	0
Gochugaru (Korean red chili pepper flakes)	0
gochugaru (Korean red pepper flakes)	0
gochujang	13
Gochujang (Korean chili paste)	0
Gochujang (Korean red chili paste)	0
Gochujang (red chili paste)	0
Goji berries	198
Golbaengi (whelk)	0
Gold leaves	1
Golden raisins	47
Golden syrup	101
Goose	9635
Goose liver	6
Gooseberry	1237
Gorgonzola	146
Gouda cheese	166
GPT-based ingredient list	0
Graham cracker crumbs	139
Graham cracker crust	39
Graham crackers	26971
Graham flour	24
Grain	177541
Grain vinegar	2
Grains	256282
Gram flour	18
Grana Padano cheese	4
Grand Marnier	33
Granola	52689
Granulated sugar	647
Grape	199180
Grape Jelly	509
Grape juice	169919
Grape leaves	594
grape molasses	0
Grape must	2
Grapefruit	107121
Grapes	132842
Grass jelly	0
Grass jelly cubes	0
Grated cassava	0
Grated cheese	316
grated coconut	7
Grated daikon radish	0
Grated garlic	0
Grated ginger	1470
Grated Grana Padano	0
Grated nutmeg	2
Grated Parmesan	2008
Grated Parmesan cheese	1956
Grated sweet potato	0
Graveyard	394
Gravlax	1
Gravy	23618
Greek yogurt	31272
Green Apple	495
Green apples	339
Green banana	125
Green bananas	129
Green Bean	3339
Green bean paste	0
green beans	74742
green bell pepper	798
Green bell peppers	171
Green Chartreuse	2
green chili	52
Green chili paste	1
green chili peppers	4
Green chili sauce	3
Green chilies	30
Green chillies	3
Green chutney	1
Green curry paste	3
Green food coloring	72
Green gram	8
green gram beans	1
Green Gram Benedict	0
Green Gram Biriyani	0
Green Gram Bisque	0
Green Gram Braise	0
Green Gram Bread	0
Green Gram Bun	0
Green Gram Burger	0
Green Gram Burrito	0
Green Gram Butter	0
Green Gram Cake	0
Green Gram Candy	0
Green Gram Carpaccio	0
Green Gram Casserole	0
Green Gram Ceviche	0
Green Gram Cheese	0
Green Gram Chips	0
Green Gram Chowder	0
Green Gram Cobbler	0
Green Gram Cookie	0
Green Gram Couscous	0
Green Gram Crepe	0
Green Gram Crisp	0
Green Gram Croquette	0
Green Gram Crumble	0
Green Gram Curry	0
Green Gram Custard	0
Green Gram Cutlet	0
Green Gram Dip	0
Green Gram Dog	0
Green Gram Dumpling	0
Green Gram Egg Roll	0
Green Gram Empanada	0
Green Gram Enchilada	0
Green Gram Essence	0
Green Gram Extract	0
Green Gram Flan	0
Green Gram Flour	0
Green Gram Fondue	0
Green Gram Fries	0
Green Gram Frittata	0
Green Gram Gnocchi	0
Green Gram Gratin	0
Green Gram Grits	0
Green Gram Guacamole	0
Green Gram Gumbo	0
Green Gram Hash Browns	0
Green Gram Hot Dog	0
Green Gram Hummus	0
Green Gram Husk	0
Green Gram Ice Cream	0
Green Gram Jam	0
Green Gram Jelly	0
Green Gram Jerky	0
Green Gram Juice	0
Green Gram Katsu	0
Green Gram Kebab	0
Green Gram Lasagna	0
Green Gram Leaf	0
Green Gram Meatball	0
Green Gram Mousse	0
Green Gram Muffin	0
Green Gram Noodle	0
Green Gram Oil	0
Green Gram Omelette	0
Green Gram Paella	0
Green Gram Pancake	0
Green Gram Parfait	0
Green Gram Pasta	0
Green Gram Paste	0
Green Gram Pate	0
Green Gram Pie	0
Green Gram Pierogi	0
Green Gram Pilaf	0
Green Gram Pizza	0
Green Gram Polenta	0
Green Gram Popsicle	0
Green Gram Porridge	0
Green Gram Pudding	0
Green Gram Puree	0
Green Gram Quesadilla	0
Green Gram Quiche	0
Green Gram Ravioli	0
Green Gram Rice	0
Green Gram Rings	0
Green Gram Risotto	0
Green Gram Roll	0
Green Gram Root	0
Green Gram Roulade	0
Green Gram Salad	0
Green Gram Salsa	0
Green Gram Samosa	0
Green Gram Sandwich	0
Green Gram Sashimi	0
Green Gram Sauce	0
Green Gram Sausage	0
Green Gram Saute	0
Green Gram Schnitzel	0
Green Gram Scramble	0
Green Gram Seed	0
Green Gram Skewer	0
Green Gram Skin	0
Green Gram Slaw	0
Green Gram Slider	0
Green Gram Sorbet	0
Green Gram Souffle	0
Green Gram Soup	0
Green Gram Spread	0
Green Gram Spring Roll	0
Green Gram Sprout	0
Green Gram Stalk	0
Green Gram Stew	0
Green Gram Stir Fry	0
Green Gram Stock	0
Green Gram Sushi	0
Green Gram Syrup	0
Green Gram Taco	0
Green Gram Tamale	0
Green Gram Tart	0
Green Gram Tartare	0
Green Gram Tater Tots	0
Green Gram Tempura	0
Green Gram Terrine	0
Green Gram Tortellini	0
Green Gram Trifle	0
Green Gram Waffle	0
Green Gram Water	0
Green Gram Wedges	0
Green Gram Wrap	0
Green Gram Yogurt	0
Green Lentil	32
Green mango	10
Green mangoes	0
Green olives	396
green onion	649
Green onion oil	1
green onions	1864
Green or red salsa	0
Green papaya	9
Green Pea	3753
Green peas	13187
green pepper	3147
green peppercorns	0
green peppers	5406
Green plantains	6
Green Plum	6
Green rice flour jelly	0
Green seasoning	2
Green sticky rice	0
Green tea	40439
Green Tea Flavor Oil	0
Green tea leaves	2237
Green tea powder	37
Green Tomato	21
Green tomatoes	111
Green wheat	5
Greens	73258
Greens (such as collard greens or kale)	0
Gremolata	1
Grilled chicken	25004
Grilled hot dog	21
Grilled meat (such as chicken, pork, or seafood)	0
Grilled onions	135
Grilled or fried fish or meat	0
Grilled pork	1256
Grilled pork chop	124
Grits	9385
Groat (grain)	0
Ground allspice	3
Ground almonds	26
Ground bacon	1
Ground beef	15867
Ground beef or lamb	5
Ground beef or pork	144
Ground biscuit	0
Ground black pepper	565
Ground cardamom	14
Ground chicken	1309
Ground cinnamon	252
Ground cloves	20
Ground coriander	3
Ground crayfish	1
Ground cumin	459
Ground fenugreek	1
Ground fish	9
Ground ginger	43
Ground hazelnuts	49
Ground lamb	85
Ground lamb or beef	1
Ground marigold	0
Ground meat	3958
Ground meat (beef or chicken)	0
Ground meat (beef, pork, or chicken)	0
Ground meat (usually lamb or beef)	0
Ground meat (usually pork or beef)	0
Ground nutmeg	11
Ground nuts or breadcrumbs	0
Ground peanuts	570
Ground pepper	161
Ground pistachios	2
Ground pork	243
Ground sesame seeds	10
Ground spices (such as turmeric, cumin, coriander)	0
Ground sumac	2
ground toasted rice	0
Ground veal	6
Ground walnuts	913
Groundnut	8
Groundnut flour	0
Groundnut oil	2
Groundnut paste	0
Groundnuts	10
Grouper	1632
Gruyere cheese	372
Gruyère cheese	0
Guacamole	9384
Guajillo chili sauce	0
Guajillo chilies	0
Guanciale	4
Guanciale or Pancetta	0
Guandú	0
Guar gum	14112
Guascas	0
Guava	7217
Guava paste	1
Guava pulp	0
Guavas	69
Guisquil	0
Gula Melaka	0
Gula Melaka (palm sugar)	0
Gulai	0
Gulai Babek	0
Gulai Cubadak	0
Gulai Itiak Lado Mudo	0
Gulai Kikil	0
Gulai Limpo	0
Gulai Otak	0
Gulai Tunjang	0
Gulaman	0
Gulkand essence	0
Gum Arabic	134
Gum base	34
Gummy worms	333
Habanero pepper	21
Habanero peppers	20
Haggis	15
Halloumi	12
Halloumi cheese	6
ham	105132
Ham hock	43
Ham hocks	213
hamburger	37610
Hamburger bun	1177
Hamburger buns	587
Hamburger patty	1270
Hard bread	988
Hard cheese	7564
Hard taco shells	25
Hard-boiled egg	7613
hard-boiled eggs	6612
Harina de trigo	0
Harissa	29
Hash brown	1604
hash browns	5919
Hasma	3
Haw	1049
Hawaiian salt	2
Hazelnuts	12022
Hazelnuts (13%)	1
heart	2255135
Heath bar pieces	0
heavy cream	5002
Hemp seed	363
Hemp seeds	2139
herbs	124415
Herbs (optional)	2
Herbs (such as basil or oregano)	0
Herbs (such as basil, oregano, and thyme)	0
Herbs (such as basil, oregano, thyme)	0
Herbs (such as basil, oregano)	0
Herbs (such as cilantro, parsley)	0
Herbs (such as parsley or basil)	0
Herbs (such as parsley, thyme, bay leaves)	0
Herbs (such as thyme and parsley)	0
Herbs (such as thyme or rosemary)	0
Herbs (such as thyme, rosemary)	0
Herbs and spices	8169
Herbs de Provence	3
Hero roll	0
Herring	38479
Herring fillets	1
Hershey's Kisses	196
Hibiscus flowers	10
hicken thighs	1
Hickory nuts	218
High fructose corn syrup	22932
High oleic safflower oil	10
Hilsa fish	0
Hing	6064
Hing (asafoetida)	2
Hoagie roll	15
Hoagie rolls	1
Hog Plum	0
Hogao	0
hoisin sauce	658
Hollandaise sauce	686
Home fries	144
Hominy	114
honey	188767
Honeycomb	6258
Hong Kong-style milk tea	0
Horse gram	1
Horse meat	4
Horseradish	6890
Hot cherry peppers	0
Hot chocolate	8120
Hot dog	13044
Hot dog bun	335
Hot dog sausage	67
hot dogs	56963
hot pepper	631
Hot peppers	945
hot sauce	9567
Hot stones	41
Hot water	159320
hotdog	3495
Huacatay	0
Huacatay leaves	0
Huevo	360
Hulba	0
Humectant (glycerol)	0
Hummus	41308
Hungarian wax peppers	0
husked wheat	0
Hwachae	1
Hydrogenated Palm Kernel Oil	4
Hydrogenated Palm Oil	12
Hydrolyzed plant protein	8
Hydrolyzed protein	518
Hydrolyzed soy protein	24
Hydrolyzed vegetable protein	32
Ice	800148
Ice (optional)	12
Ice cream	167570
Ice cubes	15336
Ice water	29318
Ice, sugar, flavoring syrup	0
Icing sugar	18
Imitation crab meat	126
Imitation shark fin noodles	0
Injera	22
Instant chocolate pudding mix	0
Instant coffee	3972
Instant coffee powder	24
Instant noodles	290
Instant pistachio pudding mix	0
instant ramen noodles	27
Instant yeast	5
Intestines	83006
Invert sugar syrup	2
Invert Syrup	3
Invertase	51
Irish potatoes	2
Iron	779858
Israeli couscous	4
Israeli salad	10
Italian bread	1500
Italian herbs (such as oregano, basil, parsley)	0
Italian sausage	959
Italian seasoning	1297
jackfruit	212
Jaecheop	0
Jaggery	16
Jalapeno	3940
Jalapeño	24
Jalapeno peppers	2856
Jalapeño peppers	6
Jalapenos	564
jalapeños	14
jam	36019
Jam (fig, apricot, or raspberry)	0
Jam or Custard for filling	0
Jam or fruit	18
Jambu leaves	0
Jamón	64
Jansson's temptation	0
Japanese mayonnaise	0
Japanese peanuts	0
Jasmine rice	458
Java sugar	1
Jello	205829
Jelly	272176
Jelly crystals	1
Jelly cubes	1
Jicama	2431
Jindallae petals	0
Jinhua ham	0
Jiucai	0
Job's tears	10
Jowar flour	0
Jujube	238
Jujube (red date)	0
Jujube (red dates)	0
Jujube dates	2
Jujubes	5
Juniper berries	35
Kaalan	1
Kadayif dough	0
Kadayıf dough	0
Kadyos	0
Kaese	3
Kaffir lime leaf	1
kaffir lime leaves	1
kaffir lime zest	0
Kajmak	0
Kaki furai	0
Kalabasa	0
Kalamata olives	84
kale	62742
Kamaboko	2
Kampot pepper	0
Kangkong (water spinach)	0
Kangkong leaves	0
Kangkung	0
Kansui (alkaline mineral water)	0
Kaong	0
Kaong sap	0
Kashk	43
Kashk-e Bademjan	0
Kashk-e Zard	0
Kashkaval	0
Kashmiri red chili	0
Kasseri cheese	0
Kasuri methi	0
Katsuobushi	1
Kecap manis	0
Kecap manis (sweet soy sauce)	0
Kefir grains	8
Keftedes	0
Kelp	14095
Kencur	1
Kerisik (toasted coconut)	0
ketchup	21990
Key lime juice	4
Khoya	0
Khubeza	0
Kibbeh	37
Kibbeh Nayyeh	1
Kibe	15
Kichadi	1
Kidney	1420234
kidney beans	29158
Kidneys	596489
kielbasa sausage	63
Kikurage mushrooms	0
kimchi	2031
Kinako	8
Kinako (roasted soybean flour)	0
Kipper	73
Kirsch	31803
Kithul treacle	0
Kiwi	33988
Kiwi fruit	5901
Kiwi onion dip	0
Kısır	0
Kluwek	0
Kofta	22
Koi fish	26
Koji	527
Koji (fermented rice)	0
Kokotxas	0
Kokum	2
Kombu	69
Konjac	81
Konjac flour	3
Konjac noodles	10
Konjac yam	1
Konnyaku	11
Konnyaku noodles	2
Korean chili flakes	1
Korean chili paste	3
Korean chili pepper	0
Korean pear	1
Korean radish	1
Korean red chili paste	0
Korean red chili powder	0
Kroeung	0
Kroeung (lemongrass, turmeric, garlic, shallots, galangal, kaffir lime zest)	0
Kudzu powder	0
Kudzu starch	0
Kuhol snails	0
Kumara	35
Kummelweck roll	0
Kuromitsu (brown sugar syrup)	0
Kusa (winter melon)	0
Kvass	6
Kwetiau noodles	0
L-carnitine	181095
L-cystine	114
L-tyrosine	650
Labneh	111
Lactic acid	72841
Lactic acid bacteria	39
Lactic Acid Starter Culture	27
Lactic ferments	0
Lactose	150234
Lady's finger	2
Ladyfingers	7
Lagane	0
Laksa leaves	0
lamb	52316
Lamb casing	0
Lamb fat	38
Lamb feet	0
Lamb heart	2
Lamb intestines	0
Lamb kidney	24
Lamb liver	29
Lamb lung	0
Lamb meat	70
Lamb offal	0
Lamb or beef	63
Lamb or chicken	70
Lamb or mutton	0
Lamb seekh kebab	0
Lamb shank	69
Lamb tail fat	0
Lamb tripe	0
Langka	0
Langka (jackfruit)	0
lard	9536
Lardons	1
Large sausages	4
Lasagna noodles	42
Latik	2
Leavening (Ammonium Bicarbonate, Baking Soda)	0
Leavening agent	87
Leavening agents	1576
Lebkuchen	3
Lebkuchengewürz	0
Lebkuchengewürz (gingerbread spice mix)	0
Lechazo	0
Leche flan	0
Lecithin	7124
Leek	1352
leeks	11247
Lemon	239237
lemon juice	27895
Lemon juice or vinegar	36
Lemon juice powder	4
Lemon or calamansi juice	0
lemon peel	2110
Lemon slices	345
Lemon wedges	453
lemon zest	3135
lemongrass	237
lemons	22133
Lentil soup	3654
Lentils	102197
lettuce	81089
lettuce leaves	212
Licor 43	1
Licorice	187619
Licorice root extract	178
Light brown sugar	32
Light corn syrup	13
light soy sauce	30
Lily buds	0
Lily bulb	2
Lily bulbs	1
Lima beans	31099
lime	155343
lime juice	4447
Lime leaves	3
Lime or lemon juice	31
Lime or lye	1
Lime slices	130
Limu kohu	0
Linga (sesame seeds)	0
Lingonberries	3
Lingonberry jam	1
Linguica	1
Linguica sausage	0
Liqueur	341
Liquor	365463
Liquorice extract	8
Liquorice root extract	1
Live active cultures	968
Live octopus	2
liver	1409701
Liver pate	53
Liver pâté	1
Liver spread	32
Liver, bread crumbs, onions, eggs, parsley, salt, pepper	0
Lobster	13785
Lobster meat	14
Lobster tomalley	0
Locust bean gum	51
Lokshen	0
Lollipop sticks	0
Long bean	7
Long beans	993
Long green beans	4
Long green peppers	0
Longan	30
Lontong sauce	0
Lotus leaf	11
lotus leaves	2
Lotus root	25
Lotus Seed	10
Lotus seed paste	0
Lotus seeds	9
Lotus stem	0
Louie dressing	0
Low-fat cocoa powder	0
Lūʻau leaves	0
Lukewarm water	148355
Lumpia wrapper	0
Lumpia wrappers	0
Luncheon Meat	829
lungs	1818490
Luosifen broth	0
Lychee	3762
Lye	3257
Lye water	1
M&M's	2549
Macapuno	0
Macaroni	45583
Macaroni and cheese	30500
Macaroni salad	1019
Maccheroni	0
Mace	7243
Machas	2
Mache	217
Madeira sauce	0
Madeira wine	0
Maggi cube	1
Maggi cubes	0
Magnesium chloride	4797
Magnesium Hydroxide	75650
Magnesium Stearate	789
Mahlab	3
Mahleb	0
Mahlepi	0
Maida	162
Maitake mushrooms	43
Maize	173471
Maize flour	4
Maize meal	1
Makrut lime leaves	0
Malabar tamarind	1
Maldive fish	0
Malewa	0
Malic acid	701
Mallow	355
malt	8528
Malt biscuits	0
Malt extract	184
Malt Extract (from Barley)	0
Malt Flavoring	38
Malt flour	1
Malted barley	167
Malted barley extract	0
Maltesers	0
Maltodextrin	662
Maltose	1073
malunggay leaves	0
Mắm (fermented fish sauce)	0
Mandarin oranges	12845
Mandarin roll	0
Mandioca	0
Mandioquinha	0
Mandu	10
Mango	25404
Mango chutney	10
Mango pulp	19
Mango syrup	3
Mangoes	7771
Manok	0
Mantoo wrappers	0
Maple sap	20
Maple syrup	44840
Maraca pie	0
Maraschino cherries	105
Maraschino cherry	30
Maraschino liqueur	0
Mare's milk	15
Margarine	53845
Maria biscuits	1
Marinade (soy sauce, vinegar, garlic, pepper)	0
Marinara sauce	17856
Marinated mushrooms	10
Marinated vegetables	142
Marjoram	247
Marmalade	1884
Marmot meat	0
Marrow (vegetable)	0
Mars bar	7
Marsala wine	4
Marshmallow	4486
Marshmallow Creme	10
Marshmallow fluff	73
marshmallows	2109
Marzipan	109
Masa dough	0
Masa harina	3
masala steak	0
Mascarpone cheese	11
Mashed bananas	1244
Mashed potatoes	60718
Masoor dal	1
Massaman curry paste	0
Mastic	545
Mastiha	0
Matcha powder	44
Mató cheese	0
Matzah	160
Matzah meal	0
Matzo	216
Matzo meal	4
Mayo	344163
mayonnaise	40735
McFlurry mix-in flavor	0
meat	346587
Meat (beef, chicken, or fish)	6
Meat (beef, chicken, or goat)	0
Meat (beef, lamb, or chicken)	0
Meat (beef, pork, or chicken)	9
Meat (chicken, beef, or pork)	451
Meat (chicken, beef, pork, shrimp)	2
Meat (chicken, lamb, or goat)	0
Meat (chicken, pork, or seafood)	0
Meat (chicken, shrimp, or beef)	0
Meat (goat, beef, or chicken)	0
Meat (optional)	0
Meat (pork, beef, or chicken)	5
Meat (such as beef, chicken, or pork)	1
Meat (such as chicken, beef, or pork)	1
Meat (such as pork or chicken)	5
Meat (such as thinly sliced beef, lamb, or pork)	0
Meat (typically beef or pork)	0
Meat (typically pork or lamb)	0
Meat (usually beef or chicken)	2
Meat (usually beef or goat)	0
Meat (usually beef or pork)	1
Meat (usually breaded and fried beef or pork)	0
Meat (usually chicken or beef)	5
Meat (usually chicken or fish)	9
Meat (usually chicken, beef, or mutton)	0
Meat (usually chicken, pork, or beef)	0
Meat (usually goat or chicken)	0
Meat (usually goat or lamb)	0
Meat (usually goat, cow, or chicken)	0
Meat (usually lamb or beef)	0
Meat (usually lamb or chicken)	0
meat (usually pork or beef)	0
Meat (usually pork or chicken)	2
Meat (usually pork)	6
Meat (usually sausage or burger patty)	0
Meat (usually Tapa, Longganisa, or Tocino)	0
Meat curry	36
Meat dishes	303
Meat filling	14
Meat or Vegetables	5853
Meatballs	7430
Mechanically separated chicken, water, salt, corn syrup, dextrose, sodium nitrite.	0
Medium chain triglycerides	697
Mel	26699
Melinjo	0
Melinjo nuts	0
Melloco	0
Melon	35504
Melon essence	0
Melon seeds	12
melted cheese	1902
Membrillo	5
Menma	1
meringue	299
Methi (fenugreek)	1
Mie	1084
Mie noodles	0
Mielie meal	0
Milcaos	0
milk	888358
Milk chocolate	4946
Milk chocolate (sugar, cocoa butter, chocolate, skim milk, milk fat, lactose, soy lecithin, artificial flavor), sugar, enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), palm oil, partially hydrogenated palm kernel oil, cocoa processed with alkali, invert sugar, whey, corn syrup, corn flour, leavening (baking soda, monocalcium phosphate), soy lecithin, salt, artificial flavor.	0
Milk chocolate (sugar, cocoa butter, milk, cocoa mass, emulsifier (soya lecithin), salt, natural flavoring (vanilla))	0
Milk chocolate contains milk solids 14% minimum	0
Milk chocolate contains vegetable fats in addition to cocoa butter	0
Milk fat	7731
Milk powder	5208
Milk protein	17158
Milk Protein Concentrate	41
Milk solids	2548
Milkfat	95
Milkfish	3
Millet	15847
Millet flour	45
Minced beef	78
Minced garlic	118
Minced meat	187
Minced pork	6
Mincemeat	45
Mineral Salt (508)	0
Mini chocolate chips	227
Mini graham crackers	7
Mini marshmallows	85
mint	36451
Mint Chutney	2
Mint extract	33
mint leaves	77
Mint-coriander chutney	0
Mirabelles	3
Mirepoix (carrots, onions, celery)	0
mirin	19
Misal masala	0
Miso	12470
Miso paste	90
Miso soup	830
Miso-based broth	0
Misua	0
Mitsuba leaves	0
Mixed berries	4286
Mixed dried fruit	50
Mixed dried fruits	0
Mixed greens	1484
Mixed peel	0
mixed spice	1
Mixed spices	11
Mixed Sprouts	0
Mixed summer berries	0
Mixed vegetables	5079
Miyeok (seaweed)	0
Mizuna	5
Mochi	167
Mochi (rice cake)	0
Modified corn starch	48
Modified Food Starch	726
Modified Maize Starch	1
Modified Potato Starch	3
Modified starch	19
Molasses	24290
Molokhia leaves	1
Monamon fish	0
Monkfish liver	0
Mono and diglycerides	53
Monocalcium phosphate	49
Monoglycerides	23
Monosodium glutamate	11659
Moong dal	9
Morcilla	0
Morcilla (blood sausage)	0
Mornay sauce	1
Morning glory	320
Mortadella	107
Mozzarella	41761
Mozzarella cheese	33664
MSG	251740
Muhammara	1
Mulato Chilies	0
Mullet roe	0
Mulukhiyah	3
Mung bean	306
mung bean noodles	5
Mung bean paste	0
Mung bean starch	2
Mung beans	133
Murta	5
Muscovado sugar	0
Mushroom	16585
Mushroom duxelles	0
Mushrooms	63219
mussels	2458
mustard	59435
Mustard greens	23693
Mustard oil	90
Mustard paste	12
Mustard powder	22
Mustard seed	468
Mustard seeds	72
Mutton	519
Naan	1388
Naga King Chili	0
Napa cabbage	57
Nata de coco	0
Nata starter	0
Nata starter culture	0
Natural and artificial flavor	39
Natural and artificial flavorings	2
Natural and artificial flavors	58
Natural casing	0
Natural Colors	6
Natural colour	1
Natural Colour (Caramel III)	0
Natural Colours	1
Natural flavor	284
Natural flavoring	220
natural flavoring (vanilla)	0
Natural flavorings	60
Natural flavors	520
Natural flavour	2
Natural flavourings	4
Natural gut casing	0
Natural lemon flavoring	0
Natural orange flavoring	0
Natural vanilla extract	3
Natural vanilla flavor	19
natural vanilla flavoring	0
Navy beans	3671
Neon green sweet pickle relish	0
Nettle leaves	32
Niacin	40559
Niacinamide	5827
Nigella seeds	4
Nipa palm sap	0
Niter kibbeh	0
Nitrite curing salt	0
Nitrites	108504
Nonfat dry milk	19848
Nonfat milk	1079
noodles	82923
Noodles (such as udon or shirataki)	0
Nopalitos	0
Nori	767
Nori (seaweed)	21
Nori seaweed	21
Nougat	206
Nuoc cham dressing	0
Nut butter	8939
nutmeg	5164
Nutmeg powder	1
Nutrients	109433
Nutritional yeast	1082
nuts	319174
Nuts (such as almonds and walnuts)	82
Nuts (such as almonds, hazelnuts, or pistachios)	0
Nuts (such as almonds, walnuts, or pistachios)	1
Nuts (typically walnuts or pistachios)	0
oatmeal	147465
Oats	73779
Oaxacan cheese	0
Oaxacan tortilla	0
Octopus	1331
Offal	21
Ogbono seeds	0
Oha leaves	0
oil	627312
Oil (for frying)	41
Oil and vinegar dressing	280
Oil for frying	41
Oil of lemon	1313
Oio fish	0
Okazi leaves	0
Okonomiyaki sauce	0
Okra	31596
Olan	571
Old Bay seasoning	46
Óleo	0
Oleoresin of Paprika	2
Olive	113247
olive oil	86523
Olive salad	18
olives	33304
Omelette	5623
Omija berries	0
Oncom	36
onion	69236
Onion flakes	15
Onion powder	2727
Onion rings	2043
Onion soup mix	63
onions	61525
Optional herbs or spices	0
Optional seasonings (such as garlic, ginger, chili flakes)	0
Optional seasonings (such as paprika, garlic powder, or herbs)	0
Optional toppings	3
Optional toppings (lettuce, tomato, onion, cheese, pickles, condiments)	0
Orange	383603
Orange blossom water	1
Orange flower water	0
Orange fondant	0
Orange food coloring	26
orange juice	162906
Orange peel	2223
Orange slices	736
orange zest	19
Oranges	83728
Orecchiette	1
oregano	6915
Orégano	1
Oreo cookie pieces	3
Oreos	3473
Orzo	438
Orzo pasta	56
Osmanthus flowers	0
Other greens	208
Other seasonings	432
Other toppings of choice	0
Ovo	2599
Ox tongue	3
Oxtail	46
Oxtails	25
oyster sauce	110
Oysters	11012
Paccheri	0
Pachadi	0
Pakoras	7
Palm fat	1
Palm hearts	5
Palm kernel oil	4420
Palm nut cream	0
Palm nut extract	0
Palm oil	11973
Palm sap	0
palm sugar	21
Palm sugar syrup	0
Palm wine	2
Pan con Tomate	0
Pancake mix	942
Pancetta	25
Pancit choca	0
Pancit estacion	0
Pandan	4
Pandan essence	0
Pandan extract	0
Pandan leaf	0
pandan leaves	0
Pandanus leaves	0
Pane ticinese	0
Paneer	311
Panko breadcrumbs	12
Papad	6
Papadum	6
Papadums	2
Papalo herb	0
Papaya	18557
Papri	5
paprika	1132
Paratha	38
parchment paper	229
Parippu	0
Parmesan	30745
Parmesan cheese	23501
parsley	14645
Parsley root	14
Parsnip	5965
Parsnips	8783
Partially Hydrogenated Soybean Oil	10
Partridgeberries	0
Passion Fruit	4174
Passion fruit pulp	0
Pasta	190961
Pasta (such as penne or ziti)	0
Pasta noodles	1272
Pasteurised Egg Yolk	0
Pastina	17
Pastrami	516
Pastrma	0
pastry	2989
Pastry cream	4
Pastry crust	7
Pastry dough	4
Pastry shell	1
Patatas Bravas	0
pate	19465
Pâté	6
Patis (fish sauce)	0
